category,year_month,n,k,prev,feature
white-supremacist,2024-01-01,12951,570,0.044012045401899465,Violence Condoning
white-supremacist,2024-02-01,16553,674,0.04071769467770193,Violence Condoning
white-supremacist,2024-03-01,23299,985,0.04227649255332847,Violence Condoning
white-supremacist,2024-04-01,14651,543,0.03706231656542216,Violence Condoning
white-supremacist,2024-05-01,1172,45,0.03839590443686007,Violence Condoning
white-supremacist,2024-06-01,9,2,0.2222222222222222,Violence Condoning
white-supremacist,2024-07-01,5,3,0.6,Violence Condoning
white-supremacist,2024-08-01,48,7,0.14583333333333334,Violence Condoning
764,2021-08-01,1,0,0,Existential Threat
764,2021-09-01,1,0,0,Existential Threat
764,2021-10-01,3,0,0,Existential Threat
764,2021-11-01,25,0,0,Existential Threat
764,2021-12-01,48,0,0,Existential Threat
764,2022-01-01,164,0,0,Existential Threat
764,2022-02-01,79,0,0,Existential Threat
764,2022-03-01,25,0,0,Existential Threat
764,2022-04-01,26986,9,3.335062625064848e-4,Existential Threat
764,2022-05-01,12853,5,3.890142379211079e-4,Existential Threat
764,2022-06-01,54196,21,3.874824710310724e-4,Existential Threat
764,2022-07-01,35858,34,9.481845055496681e-4,Existential Threat
764,2022-08-01,18874,6,3.178976369608986e-4,Existential Threat
764,2022-09-01,5691,1,1.7571604287471446e-4,Existential Threat
764,2022-10-01,3523,3,8.515469770082316e-4,Existential Threat
764,2022-11-01,1747,4,0.0022896393817973667,Existential Threat
764,2022-12-01,3925,5,0.0012738853503184713,Existential Threat
764,2023-01-01,438,0,0,Existential Threat
764,2023-02-01,1473,0,0,Existential Threat
764,2023-03-01,46581,16,3.434876881131792e-4,Existential Threat
764,2023-04-01,43210,18,4.165702383707475e-4,Existential Threat
764,2023-05-01,10,0,0,Existential Threat
764,2023-06-01,44064,18,4.084967320261438e-4,Existential Threat
terrorgram,2020-07-01,22,1,0.045454545454545456,Existential Threat
terrorgram,2020-08-01,265,29,0.10943396226415095,Existential Threat
terrorgram,2020-09-01,174,9,0.05172413793103448,Existential Threat
terrorgram,2020-10-01,25,2,0.08,Existential Threat
terrorgram,2020-11-01,1,0,0,Existential Threat
terrorgram,2020-12-01,1,0,0,Existential Threat
terrorgram,2021-03-01,62,11,0.1774193548387097,Existential Threat
terrorgram,2021-04-01,5,1,0.2,Existential Threat
terrorgram,2021-05-01,2,0,0,Existential Threat
terrorgram,2021-06-01,1,0,0,Existential Threat
terrorgram,2021-07-01,15,3,0.2,Existential Threat
terrorgram,2021-08-01,1,1,1,Existential Threat
terrorgram,2021-09-01,4,0,0,Existential Threat
terrorgram,2021-10-01,6,0,0,Existential Threat
terrorgram,2021-11-01,1,0,0,Existential Threat
terrorgram,2021-12-01,15,1,0.06666666666666667,Existential Threat
terrorgram,2022-01-01,784,7,0.008928571428571428,Existential Threat
terrorgram,2022-02-01,2059,29,0.014084507042253521,Existential Threat
terrorgram,2022-03-01,329,21,0.06382978723404255,Existential Threat
terrorgram,2022-04-01,764,19,0.024869109947643978,Existential Threat
terrorgram,2022-05-01,545,19,0.03486238532110092,Existential Threat
terrorgram,2022-06-01,491,21,0.04276985743380855,Existential Threat
terrorgram,2022-07-01,652,16,0.024539877300613498,Existential Threat
terrorgram,2022-08-01,1059,22,0.02077431539187913,Existential Threat
terrorgram,2022-09-01,9522,91,0.00955681579500105,Existential Threat
terrorgram,2022-10-01,6422,136,0.02117720336343818,Existential Threat
terrorgram,2022-11-01,7816,136,0.017400204708290685,Existential Threat
terrorgram,2022-12-01,14321,154,0.01075343900565603,Existential Threat
terrorgram,2023-01-01,13182,162,0.012289485662266727,Existential Threat
terrorgram,2023-02-01,8786,91,0.010357386751650353,Existential Threat
terrorgram,2023-03-01,12684,86,0.006780195521917377,Existential Threat
terrorgram,2023-04-01,5954,95,0.015955660060463554,Existential Threat
terrorgram,2023-05-01,718,42,0.0584958217270195,Existential Threat
terrorgram,2023-06-01,704,40,0.056818181818181816,Existential Threat
terrorgram,2023-07-01,1003,50,0.049850448654037885,Existential Threat
terrorgram,2023-08-01,725,33,0.04551724137931035,Existential Threat
terrorgram,2023-09-01,892,37,0.04147982062780269,Existential Threat
terrorgram,2023-10-01,1458,125,0.08573388203017833,Existential Threat
terrorgram,2023-11-01,621,53,0.0853462157809984,Existential Threat
terrorgram,2023-12-01,1484,96,0.0646900269541779,Existential Threat
terrorgram,2024-01-01,4453,239,0.05367168201212666,Existential Threat
terrorgram,2024-02-01,4054,183,0.04514060187469166,Existential Threat
terrorgram,2024-03-01,2726,171,0.06272927366104182,Existential Threat
terrorgram,2024-04-01,3135,182,0.05805422647527911,Existential Threat
terrorgram,2024-05-01,4221,189,0.04477611940298507,Existential Threat
terrorgram,2024-06-01,132,0,0,Existential Threat
terrorgram,2024-07-01,1351,4,0.0029607698001480384,Existential Threat
white-supremacist,2021-03-01,1548,56,0.03617571059431524,Existential Threat
