topic,label,n_dcm_pos,n_dcm_neg,prop_pos,prop_neg,log_odds,feature,category
2,White Nationalism/Russia-Ukraine,633,6449,0.18599530240751616,0.10106874774732422,0.6099204614651296,Violence Condoning,terrorgram
3,Media Sharing,18,3661,0.005431591309453905,0.05737859056931973,-2.3574390973077186,Violence Condoning,terrorgram
4,Guns/Violence,274,2582,0.08059307105108632,0.0404698102267563,0.6888564090649183,Violence Condoning,terrorgram
5,Animals/Nature,80,2670,0.023634762184380504,0.04184883957814239,-0.5713454662461809,Violence Condoning,terrorgram
6,Raw Diet/Health,23,2207,0.006899588960657663,0.034593264695281525,-1.612197162218875,Violence Condoning,terrorgram
7,Paganism/Satanism,39,1994,0.01159718144450969,0.03125538683340385,-0.9914296503292584,Violence Condoning,terrorgram
8,Mental Health/Intelligence,41,1926,0.012184380504991193,0.030189773243696424,-0.9073483877204329,Violence Condoning,terrorgram
9,Non-English (Spanish/Italian),105,1552,0.030974750440399296,0.02432889850030558,0.24150748821761395,Violence Condoning,terrorgram
10,Saints/Martyrs,168,1554,0.04947152084556665,0.024360240076473447,0.7084448694027344,Violence Condoning,terrorgram
11,Propaganda Documentary,47,1580,0.013945977686435702,0.0247676805666557,-0.5743484715059504,Violence Condoning,terrorgram
12,Propaganda Materials,10,1192,0.003082795067527892,0.018687414790089795,-1.8020136164898921,Violence Condoning,terrorgram
13,Social Media/Antisemitism,71,482,0.02099236641221374,0.007561155250497547,1.021134878030048,Violence Condoning,terrorgram
14,Accelerationism,25,393,0.007486788021139166,0.006166455111027534,0.19401573341604916,Violence Condoning,terrorgram
15,Gaming,0,317,1.467997651203758e-4,0.004975475216648645,-3.5232066497835652,Violence Condoning,terrorgram
16,Numbers/Nazi Numerology,47,171,0.013945977686435702,0.002687540156394465,1.6465647935437275,Violence Condoning,terrorgram
17,Infrastructure (Physical/Digital),13,138,0.003963593658250147,0.0021704041496246845,0.6022377089261172,Violence Condoning,terrorgram
18,Subcultural Identity,0,55,1.467997651203758e-4,8.697287386582671e-4,-1.7791118522032074,Violence Condoning,terrorgram
0,Expletive Chat,1750,60027,0.21352768968040986,0.3382364542012261,-0.45997870122904433,Violence Condoning,white-supremacist
1,Antisemitism/Racism,3163,32483,0.3858868016589412,0.18303450685178507,0.7458693694073452,Violence Condoning,white-supremacist
2,Firearms/Weapons,759,19595,0.0926445474505977,0.11041460061305446,-0.1754722770746388,Violence Condoning,white-supremacist
3,Animals/Wehrwolf,685,9768,0.08361795559892657,0.05504248557518933,0.41815292488184586,Violence Condoning,white-supremacist
4,Religious Ideology,225,9699,0.02750670895340327,0.05465369184998197,-0.6865868299172605,Violence Condoning,white-supremacist
5,Vaccines/Health,188,8545,0.0229934130275677,0.04815125766318067,-0.7391394727893275,Violence Condoning,white-supremacist
6,Appearance/Aesthetics,261,6886,0.03189802390827031,0.038803304183195095,-0.1959613409412417,Violence Condoning,white-supremacist
7,Demographics/Heritage,179,6025,0.02189558428885094,0.033951834655607645,-0.438657906627946,Violence Condoning,white-supremacist
8,Generational Conflict,276,4666,0.033727738472798245,0.02629428867652362,0.24896884386775517,Violence Condoning,white-supremacist
9,Law Enforcement,314,4543,0.03836301536960234,0.025601221601153985,0.40445378491626055,Violence Condoning,white-supremacist
10,Fitness/Combat Sports,100,4800,0.012259087582337156,0.027049337360259648,-0.791395002727381,Violence Condoning,white-supremacist
11,Survival/Outdoors,159,3661,0.019455964869480362,0.020631423548503426,-0.058661628365058144,Violence Condoning,white-supremacist
12,Age/Time Discussion,37,3733,0.004574286411319834,0.0210371213487198,-1.525837849588224,Violence Condoning,white-supremacist
13,Education/Homeschool,15,1520,0.001890705050012198,0.008567548683736026,-1.5110318552810513,Violence Condoning,white-supremacist
14,Technology/Devices,4,470,5.489143693583801e-4,0.0026511224305805986,-1.5747959343379931,Violence Condoning,white-supremacist
15,Non-English (Spanish/German),32,397,0.003964381556477189,0.0022397899386945547,0.5709677831524722,Violence Condoning,white-supremacist
16,Tactical Training/Slurs,33,390,0.004086362527445719,0.002200347097006852,0.619040097462447,Violence Condoning,white-supremacist
17,Accelerationism,17,168,0.0021346669919492557,9.494455463397043e-4,0.8101877590482189,Violence Condoning,white-supremacist
18,Channel-Specific,0,95,6.0990485484264454e-5,5.381130544536603e-4,-2.177350800135463,Violence Condoning,white-supremacist
0,Expletive Chat/CSAM,46,158741,0.5406976744186046,0.7480114787624047,-0.32455802847383336,Existential Threat,764
1,Platform Administration,3,16017,0.040697674418604654,0.07547663251939044,-0.617652154070595,Existential Threat,764
2,Race/Ethnicity,25,7387,0.29651162790697677,0.03481090199700308,2.1421558213972403,Existential Threat,764
3,Money/Banking,0,6680,0.005813953488372093,0.03147942210368583,-1.6890732636416805,Existential Threat,764
4,Extortion/Leaking,0,3657,0.005813953488372093,0.017234636081764978,-1.0866602825070113,Existential Threat,764
5,Media Sharing,0,3641,0.005813953488372093,0.017159241911619185,-1.0822761132707017,Existential Threat,764
6,Doxxing/Trolling,1,3450,0.01744186046511628,0.016259224005503774,0.07021271199472143,Existential Threat,764
7,Religion,8,2897,0.09883720930232558,0.013653412999839788,1.9794846192295774,Existential Threat,764
8,Food/Drinks,0,2748,0.005813953488372093,0.012951304790357086,-0.8009357369134469,Existential Threat,764
9,Gaming,0,2463,0.005813953488372093,0.01160834613463514,-0.6914635315967497,Existential Threat,764
10,Time/Dates,0,1239,0.005813953488372093,0.005840692118481938,-0.004588501087977016,Existential Threat,764
11,Gore/Illegal Content,0,656,0.005813953488372093,0.0030935170437945887,0.6309521566444173,Existential Threat,764
12,Lore/Storytelling,0,637,0.005813953488372093,0.003003986466746459,0.660320573354687,Existential Threat,764
13,Subculture/Conspiracy,0,462,0.005813953488372093,0.0021793627307768425,0.9812282934347885,Existential Threat,764
14,Usernames/Players,0,395,0.005813953488372093,0.0018636496432913325,1.1377240631795595,Existential Threat,764
15,Statistics/Demographics,1,415,0.01744186046511628,0.0019578923559735745,2.187004524759875,Existential Threat,764
16,Non-English (German/Dutch),1,370,0.01744186046511628,0.0017458462524385303,2.301633694319236,Existential Threat,764
17,OPSEC/OSINT,0,253,0.005813953488372093,0.0011945263832474154,1.5825110273560303,Existential Threat,764
18,Appearance Discussion,0,109,0.005813953488372093,5.159788519352741e-4,2.4219503011307126,Existential Threat,764
0,Expletive Chat,58,26606,0.03640323584318606,0.40557452516691567,-2.410646975048171,Existential Threat,terrorgram
1,Antisemitism/Jews,667,9362,0.41537025513378967,0.1427166854669065,1.068308858983732,Existential Threat,terrorgram
2,White Nationalism/Russia-Ukraine,601,6482,0.3742999377722464,0.09881558489070455,1.3318021145367163,Existential Threat,terrorgram
3,Media Sharing,5,3673,0.003422526446795271,0.05599676839120758,-2.7949149762871044,Existential Threat,terrorgram
4,Guns/Violence,10,2846,0.006533914125700062,0.043390445413249594,-1.8932330946928566,Existential Threat,terrorgram
5,Animals/Nature,3,2747,0.0021779713752333543,0.041881345080942656,-2.956446621247606,Existential Threat,terrorgram
6,Raw Diet/Health,4,2226,0.0028002489110143126,0.03393951403920612,-2.494871631450681,Existential Threat,terrorgram
7,Paganism/Satanism,23,2010,0.01462352209085252,0.030646931495990976,-0.7399012086524133,Existential Threat,terrorgram
